0:0:0:0:0:0:0:1 - - [07/Dec/2022:13:04:43 +0900] "GET /lms/list.no HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:16:11 +0900] "POST /lms/andBolist HTTP/1.1" 200 1
192.168.0.29 - - [07/Dec/2022:14:16:12 +0900] "POST /lms/comment HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:14:16:12 +0900] "POST /lms/comment HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:14:17:26 +0900] "POST /lms/andLogin HTTP/1.1" 200 498
192.168.0.29 - - [07/Dec/2022:14:17:32 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:17:32 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:19:12 +0900] "POST /lms/andLogin HTTP/1.1" 200 498
192.168.0.29 - - [07/Dec/2022:14:19:18 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:19:18 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:19:20 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:19:27 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:31 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:32 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:32 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:33 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:33 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:33 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:33 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:33 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:34 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
192.168.0.29 - - [07/Dec/2022:14:19:38 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
127.0.0.1 - - [07/Dec/2022:14:20:11 +0900] "GET / HTTP/1.1" 404 807
192.168.0.29 - - [07/Dec/2022:14:20:16 +0900] "POST /lms/andLogin HTTP/1.1" 200 498
192.168.0.29 - - [07/Dec/2022:14:20:20 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:20:20 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:20:22 +0900] "POST /lms/appmyinfo HTTP/1.1" 200 500
192.168.0.29 - - [07/Dec/2022:14:20:32 +0900] "POST /lms/andupdate.myinfo HTTP/1.1" 404 721
127.0.0.1 - - [07/Dec/2022:15:20:30 +0900] "GET / HTTP/1.1" 404 807
192.168.0.29 - - [07/Dec/2022:15:20:51 +0900] "POST /lms/andLogin HTTP/1.1" 200 499
192.168.0.29 - - [07/Dec/2022:15:50:28 +0900] "POST /lms/avg_teacher_and.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:50:28 +0900] "POST /lms/and_scoret_list.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:50:58 +0900] "POST /lms/andLogin HTTP/1.1" 200 505
192.168.0.29 - - [07/Dec/2022:15:51:26 +0900] "POST /lms/avg_teacher_and.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:51:26 +0900] "POST /lms/and_scoret_list.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:53:32 +0900] "POST /lms/andLogin HTTP/1.1" 200 13
192.168.0.29 - - [07/Dec/2022:15:54:14 +0900] "POST /lms/andLogin HTTP/1.1" 200 403
192.168.0.29 - - [07/Dec/2022:15:54:34 +0900] "POST /lms/avg_teacher_and.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:54:34 +0900] "POST /lms/and_scoret_list.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:54:54 +0900] "POST /lms/avg_teacher_and.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:54:54 +0900] "POST /lms/and_scoret_list.sc HTTP/1.1" 200 2
192.168.0.29 - - [07/Dec/2022:15:56:13 +0900] "POST /lms/andLogin HTTP/1.1" 200 403
192.168.0.29 - - [07/Dec/2022:15:56:29 +0900] "POST /lms/avg_sutdent_and.sc HTTP/1.1" 200 4
192.168.0.29 - - [07/Dec/2022:15:56:30 +0900] "POST /lms/and_score_list.sc HTTP/1.1" 200 3831
